name,bioguide_id,state,district,party,role,twitter,facebook,youtube,instagram,website
Aumua Amata Radewagen,R000600,AS,0,Republican,Representative,RepAmata,aumuaamata,,,https://radewagen.house.gov
Dan Sullivan,S001198,AK,,Republican,Senator,SenDanSullivan,SenDanSullivan,,sen_dansullivan,https://www.sullivan.senate.gov
Joni Ernst,E000295,IA,,Republican,Senator,SenJoniErnst,senjoniernst,,senjoniernst,https://www.ernst.senate.gov
Thom Tillis,T000476,NC,,Republican,Senator,SenThomTillis,SenatorThomTillis,,senthomtillis,https://www.tillis.senate.gov
Mike Rounds,R000605,SD,,Republican,Senator,SenatorRounds,SenatorMikeRounds,,senatorrounds,https://www.rounds.senate.gov
Trent Kelly,K000388,MS,1,Republican,Representative,RepTrentKelly,reptrentkelly,,reptrentkelly,https://trentkelly.house.gov
Darin LaHood,L000585,IL,16,Republican,Representative,RepLaHood,replahood,,,https://lahood.house.gov
Warren Davidson,D000626,OH,8,Republican,Representative,WarrenDavidson,CongressmanWarrenDavidson,,instawarrendavidson,https://davidson.house.gov
James Comer,C001108,KY,1,Republican,Representative,RepJamesComer,congressmancomer,,congressmancomer,https://comer.house.gov
Dwight Evans,E000296,PA,3,Democrat,Representative,RepDwightEvans,RepDwightEvans,,repdwightevans,https://evans.house.gov
John Kennedy,K000393,LA,,Republican,Senator,SenJohnKennedy,JohnKennedyLouisiana,UCDgjkA5Y_npoxeUiSW18JZQ,SenJohnKennedy,https://www.kennedy.senate.gov/public
Margaret Hassan,H001076,NH,,Democrat,Senator,SenatorHassan,SenatorHassan,,senatorhassan,https://www.hassan.senate.gov
Catherine Cortez Masto,C001113,NV,,Democrat,Senator,SenCortezMasto,SenatorCortezMasto,,sencortezmasto,https://www.cortezmasto.senate.gov
Bradley Schneider,S001190,IL,10,Democrat,Representative,RepSchneider,CongressmanBradSchneider,RepBradSchneider,repschneider,https://schneider.house.gov
Andy Biggs,B001302,AZ,5,Republican,Representative,RepAndyBiggsAZ,RepAndyBiggs,,repandybiggs,https://biggs.house.gov
Ro Khanna,K000389,CA,17,Democrat,Representative,RepRoKhanna,RepRoKhanna,,reprokhanna,https://khanna.house.gov
Jimmy Panetta,P000613,CA,19,Democrat,Representative,RepJimmyPanetta,RepJimmyPanetta,,repjimmypanetta,https://panetta.house.gov
Salud Carbajal,C001112,CA,24,Democrat,Representative,RepCarbajal,repsaludcarbajal,repcarbajal,repcarbajal,https://carbajal.house.gov
Nanette Barragán,B001300,CA,44,Democrat,Representative,RepBarragan,CongresswomanBarragan,,repbarragan,https://barragan.house.gov
J. Correa,C001110,CA,46,Democrat,Representative,RepLouCorrea,RepLouCorrea,,reploucorrea,https://correa.house.gov
Lisa Blunt Rochester,B001303,DE,,Democrat,Senator,SenLBR,Rep.BluntRochester,,senlbr,https://www.bluntrochester.senate.gov
Neal Dunn,D000628,FL,2,Republican,Representative,DrNealDunnFL2,drnealdunnfl2,,,https://dunn.house.gov
John Rutherford,R000609,FL,5,Republican,Representative,RepRutherfordFL,RepRutherfordFL,Reprutherfordfl,reprutherfordfl,https://rutherford.house.gov
Darren Soto,S001200,FL,9,Democrat,Representative,RepDarrenSoto,CongressmanDarrenSoto,repdarrensoto,RepDarrenSoto,https://soto.house.gov
Brian Mast,M001199,FL,21,Republican,Representative,RepBrianMast,repbrianmast,repbrianmast,RepBrianMast,https://mast.house.gov
Raja Krishnamoorthi,K000391,IL,8,Democrat,Representative,CongressmanRaja,congressmanraja,,congressmanraja,https://krishnamoorthi.house.gov
Jim Banks,B001299,IN,,Republican,Senator,RepJimBanks,RepJimBanks,,repjimbanks,https://www.banks.senate.gov
Roger Marshall,M001198,KS,,Republican,Senator,SenatorMarshall,RogerMarshallMD,UCR3nOFMqBB-kRpKFwgapMaQ,senrogermarshall,https://www.marshall.senate.gov
Clay Higgins,H001077,LA,3,Republican,Representative,RepClayHiggins,CongressmanClayHiggins,,RepClayHiggins,https://clayhiggins.house.gov
Mike Johnson,J000299,LA,4,Republican,Representative,RepMikeJohnson,RepMikeJohnson,,RepMikeJohnson,https://mikejohnson.house.gov
Jamie Raskin,R000606,MD,8,Democrat,Representative,RepRaskin,repraskin,,repraskin,https://raskin.house.gov
Jack Bergman,B001301,MI,1,Republican,Representative,RepJackBergman,RepJackBergman,RepJackBergman,RepJackBergman,https://bergman.house.gov
Ted Budd,B001305,NC,,Republican,Senator,RepTedBudd,RepTedBudd,@sentedbudd,sentedbudd,https://www.budd.senate.gov
Don Bacon,B001298,NE,2,Republican,Representative,RepDonBacon,RepDonBacon,,RepDonBacon,https://bacon.house.gov
Josh Gottheimer,G000583,NJ,5,Democrat,Representative,RepJoshG,RepJoshG,,RepJoshG,https://gottheimer.house.gov
Jacky Rosen,R000608,NV,,Democrat,Senator,SenJackyRosen,RepJackyRosen,,repjackyrosen,https://www.rosen.senate.gov
Adriano Espaillat,E000297,NY,13,Democrat,Representative,RepEspaillat,RepEspaillat,,repadrianoespaillat,https://espaillat.house.gov
Brian Fitzpatrick,F000466,PA,1,Republican,Representative,RepBrianFitz,repbrianfitzpatrick,,repbrianfitz,https://fitzpatrick.house.gov
Lloyd Smucker,S001199,PA,11,Republican,Representative,RepSmucker,RepSmucker,,,https://smucker.house.gov
David Kustoff,K000392,TN,8,Republican,Representative,RepDavidKustoff,RepDavidKustoff,,repdavidkustoff,https://kustoff.house.gov
Vicente Gonzalez,G000581,TX,34,Democrat,Representative,RepGonzalez,USCongressmanVicenteGonzalez,,repvicentegonzaleztx,https://gonzalez.house.gov
Jodey Arrington,A000375,TX,19,Republican,Representative,RepArrington,JodeyArrington,UC3lif8TFPOe-tJ2-pE4Rp7Q,repjodeyarrington,https://arrington.house.gov
Pramila Jayapal,J000298,WA,7,Democrat,Representative,RepJayapal,RepJayapal,,repjayapal,https://jayapal.house.gov
Ron Estes,E000298,KS,4,Republican,Representative,RepRonEstes,RepRonEstes,,RepRonEstes,https://estes.house.gov
Ralph Norman,N000190,SC,5,Republican,Representative,RepRalphNorman,RepRalphNorman,UCVVIZjUpGRB1pgQGDBVBU8Q,repralphnorman,https://norman.house.gov
Jimmy Gomez,G000585,CA,34,Democrat,Representative,RepJimmyGomez,RepJimmyGomez,UCOmm091WM6D01xTdzsWNvbQ,repjimmygomez,https://gomez.house.gov
John Curtis,C001114,UT,,Republican,Senator,RepJohnCurtis,RepJohnCurtis,,repjohncurtis,https://www.curtis.senate.gov
Tina Smith,S001203,MN,,Democrat,Senator,SenTinaSmith,USSenTinaSmith,,senatortinasmith,https://www.smith.senate.gov
Cindy Hyde-Smith,H001079,MS,,Republican,Senator,SenHydeSmith,SenatorCindyHydeSmith,,sencindyhydesmith,https://www.hydesmith.senate.gov
Michael Cloud,C001115,TX,27,Republican,Representative,RepCloudTX,RepCloudTX,RepCloudTX,repcloudtx,https://cloud.house.gov
Troy Balderson,B001306,OH,12,Republican,Representative,RepBalderson,RepTroyBalderson,UCm6vJzx-mu4Xr56FnQKRz0w,,https://balderson.house.gov
Kevin Hern,H001082,OK,1,Republican,Representative,repkevinhern,repkevinhern,UC9XRRGCgGOEtEOwUAo1rYZg,,https://hern.house.gov
Joseph Morelle,M001206,NY,25,Democrat,Representative,RepJoeMorelle,RepJoeMorelle,,,https://morelle.house.gov
Mary Scanlon,S001205,PA,5,Democrat,Representative,RepMGS,repmgs,,repmgs,https://scanlon.house.gov
Ed Case,C001055,HI,1,Democrat,Representative,RepEdCase,RepEdCase,RepEdCase,repedcase,https://case.house.gov
Steven Horsford,H001066,NV,4,Democrat,Representative,RepHorsford,,UCNEpy5bPXiyAavRzYnPlhDQ,rephorsford,https://horsford.house.gov
Greg Stanton,S001211,AZ,4,Democrat,Representative,RepGregStanton,repgregstanton,,repgregstanton,https://stanton.house.gov
Josh Harder,H001090,CA,9,Democrat,Representative,RepJoshHarder,,,,https://harder.house.gov
Mike Levin,L000593,CA,49,Democrat,Representative,RepMikeLevin,RepMikeLevin,UCYFDRohyZgoPy5rXOaVZO-A,RepMikeLevin,https://levin.house.gov
Joe Neguse,N000191,CO,2,Democrat,Representative,RepJoeNeguse,RepJoeNeguse,,,https://neguse.house.gov
Jason Crow,C001121,CO,6,Democrat,Representative,RepJasonCrow,RepJasonCrow,,,https://crow.house.gov
